date,open,high,close,low,volume,amount
2016-06-08,10330.181999999999,10372.979,10316.823,10232.131,20813352269,368553774390
2016-06-07,10365.814,10371.872,10347.841999999999,10297.415,19952084461,345431554294
2016-06-06,10383.453000000001,10403.805,10363.086,10296.179,20836386623,355498821364
2016-06-03,10275.940999999999,10412.949,10344.908000000001,10258.023000000001,25144467562,433350846150
2016-06-02,10192.513,10274.025,10274.025,10181.18,23172561122,375464429895
2016-06-01,10184.226999999999,10284.360999999999,10209.143,10177.215,26537846798,434118603241
2016-05-31,9786.003,10159.934000000001,10159.934000000001,9786.003,25583704157,395044413918
2016-05-30,9756.875,9847.699,9768.841,9681.241,13861555159,217888075096
2016-05-27,9798.344000000001,9878.741,9813.631,9775.22,15971998267,254549346997
2016-05-26,9766.082,9826.145,9826.145,9605.447,16607029595,264346573799
2016-05-25,9883.939,9930.808,9784.598,9756.524,15180699112,253751378209
2016-05-24,9903.17,9903.17,9821.698,9765.654,15574307585,250343276921
2016-05-23,9839.783000000001,9937.829,9918.164,9839.764000000001,16899598874,279258451877
2016-05-20,9657.745,9816.752,9816.752,9628.984,14998232160,242144764148
2016-05-19,9684.117,9847.215,9733.735999999999,9684.117,15651912721,251626978117
2016-05-18,9835.581,9835.581,9694.776,9591.177,17767144246,267266173576
2016-05-17,9918.436,10007.382,9908.791,9839.858,17757207796,290898943574
2016-05-16,9729.793,9910.082,9910.082,9690.33,14906378379,235093147482
2016-05-13,9769.129,9880.694,9759.268,9710.168,14245592986,223737332388
2016-05-12,9664.280999999999,9801.201,9796.582,9544.123,15600950239,239419978638
2016-05-11,9848.324,9904.530999999999,9781.15,9743.076,15409561547,247060422754
2016-05-10,9770.303,9836.976999999999,9793.214,9738.519,13689120410,217953371690
2016-05-09,10018.507,10018.507,9790.478000000001,9747.872,20194742322,310886910749
2016-05-06,10473.303,10501.435,10100.535,10100.535,25924972544,427588648960
2016-05-05,10403.55,10480.221,10474.013,10372.216,18087114752,311085137920
2016-05-04,10401.675,10498.315,10422.802,10389.771,20562688000,346375421952
2016-05-03,10144.153,10441.92,10441.92,10105.799,20363872256,341714042880
2016-04-29,10111.614,10196.923,10141.541,10100.183,14035894272,237945651200
2016-04-28,10178.237,10198.953000000001,10149.909,9990.671,16980742144,276801159168
2016-04-27,10221.826,10279.087,10174.159,10159.497,16944296960,277593686016
2016-04-26,10095.959,10209.901,10209.901,10076.744,15135098880,247611359232
2016-04-25,10122.126,10137.745,10106.787,9986.393,15408529408,250353483776
2016-04-22,9995.124,10151.764000000001,10151.764000000001,9976.045,17067252736,273544232960
2016-04-21,10120.114,10242.362,10058.801,10049.349,21375285248,335555100672
2016-04-20,10632.07,10647.094,10164.744,10011.567,30452791296,489424060416
2016-04-19,10618.835,10649.246000000001,10602.464,10531.542,18869719040,324917886976
2016-04-18,10665.44,10665.44,10568.93,10508.979,20878340096,348468248576
2016-04-15,10774.488000000001,10784.597,10733.635,10680.743,21846876160,361317793792
2016-04-14,10741.646999999999,10771.958999999999,10771.614,10651.92,24066385920,389559287808
2016-04-13,10599.215,10810.408000000001,10684.921,10599.215,31065098240,492216254464
2016-04-12,10600.795,10624.591,10533.405,10430.311,21714298880,375336501248
2016-04-11,10513.868,10667.036,10609.595,10513.868,24567623680,415014191104
2016-04-08,10425.014000000001,10457.009,10413.54,10288.796,22215569408,377726074880
2016-04-07,10719.268,10743.23,10504.882,10504.882,26608648192,454602031104
2016-04-06,10604.231000000002,10696.034,10683.857,10570.143,26105440256,446499520512
2016-04-05,10393.65,10656.152,10640.268,10373.539,26293583872,436963377152
2016-04-01,10410.679,10442.299,10379.646999999999,10224.372,21570842624,365472546816
2016-03-31,10494.523000000001,10552.578000000001,10455.369,10426.448,25073924096,444707045376
2016-03-30,10187.64,10445.690999999999,10445.690999999999,10187.64,23062550528,394017865728
2016-03-29,10259.713,10278.998,10094.712,10024.059000000001,20705007616,335925542912
2016-03-28,10399.165,10494.203000000001,10276.84,10248.266,23985137664,393732947968
2016-03-25,10256.41,10371.523000000001,10339.684000000001,10223.16,20970113024,351898140672
2016-03-24,10346.556,10473.216,10283.679,10263.562,27035588608,462982840320
2016-03-23,10317.934000000001,10442.382,10442.382,10277.247,24786673664,413919379456
2016-03-22,10308.911,10435.132,10344.082,10254.688,27915646976,446072815616
2016-03-21,10255.903,10394.142,10394.142,10234.648000000001,33811466240,522811342848
2016-03-18,9841.04,10170.688,10126.589,9833.109,31803848704,488942600192
2016-03-17,9515.626,9820.99,9791.85,9511.714,23292391424,358220038144
2016-03-16,9629.817,9661.929,9469.028,9418.549,15856956416,233192210432
2016-03-15,9636.632,9677.482,9574.187,9536.27,17154845696,257719877632
2016-03-14,9466.419,9763.365,9665.13,9466.419,20657698816,301200769024
2016-03-11,9286.525,9430.953000000001,9363.405,9254.235999999999,12701335552,175661776896
2016-03-10,9526.187,9600.231,9390.347,9382.158000000001,15102490624,213230190592
2016-03-09,9525.255,9672.487,9523.144,9466.487,18032084992,249502662656
2016-03-08,9690.569,9732.726999999999,9732.726999999999,9348.76,23099406336,312203935744
2016-03-07,9642.25,9805.369,9703.83,9614.690999999999,19868598272,270057603072
2016-03-04,9721.225,9797.56,9536.707,9447.108,26049656832,345664651264
2016-03-03,9770.739,9946.935,9762.014000000001,9748.997,28866693120,383542951936
2016-03-02,9308.49,9781.914,9766.366,9308.49,26977349632,354164998144
2016-03-01,9116.556999999999,9384.311,9322.0,9011.509,21010900992,280386371584
2016-02-29,9528.724,9528.724,9097.795,9000.888,20726773760,265271508992
2016-02-26,9625.367,9676.24,9573.704,9392.669,20850040832,296329347072
2016-02-25,10290.956,10290.956,9551.076,9510.099,27040667648,394765762560
2016-02-24,10256.392,10355.323,10307.626,10100.504,22230816768,352716226560
2016-02-23,10374.357,10397.523000000001,10299.674,10171.675,22797381632,361317138432
2016-02-22,10290.05,10371.144,10370.985,10239.581,23595081728,363399905280
2016-02-19,10091.675,10225.992,10162.315,10066.043,19041093632,302956085248
2016-02-18,10231.263,10273.633,10116.396,10099.101999999999,23723577344,359833862144
2016-02-17,10043.689,10178.55,10161.769,9982.167,23076491264,343715512320
2016-02-16,9727.764000000001,10071.021,10045.367,9727.764000000001,20040124416,301370081280
2016-02-15,9385.524,9725.181,9668.845,9385.524,13736153088,199665156096
2016-02-05,9802.249,9830.075,9673.478000000001,9670.021999999999,14732867584,217884442624
2016-02-04,9667.907,9844.02,9793.142,9667.907,17970829312,266554425344
2016-02-03,9509.501,9679.543,9638.874,9453.158000000001,15872987136,229311594496
2016-02-02,9332.694,9646.952,9610.93,9332.694,16759823360,244316389376
2016-02-01,9389.624,9457.433,9322.006,9196.152,15365348352,217579077632
2016-01-29,9077.106,9491.058,9418.204,9056.043,18089527296,248740757504
2016-01-28,9309.871,9430.556,9082.588,9045.495,16885275648,232012218368
2016-01-27,9525.610999999999,9556.834,9422.43,8986.518,22135271424,302842675200
2016-01-26,10079.222,10104.468,9483.546999999999,9463.306999999999,21398837248,310466740224
2016-01-25,10194.752,10291.495,10192.530999999999,10103.65,16514122752,258879307776
